dataset,feature_group,model,accuracy,precision_macro,recall_macro,f1_macro
ml_csv,combined,random_forest,0.8199,0.8082590140099651,0.7642866712088766,0.7828118837243419
ml_csv,content_engagement,random_forest,0.8143,0.8012644429155373,0.7562705744764707,0.7757538443419798
ml_csv,platform_context,logistic_regression,0.4744,0.4270709609946014,0.4974268501429503,0.420054783223698
ml_csv,creator,linear_svm,0.563,0.2800021465241216,0.2691952518505145,0.22389128539565
raw_csv,all_features,random_forest,0.2554076539101497,0.2561642910901185,0.2553865094738875,0.2552463982339057
raw_csv,platform_metadata,random_forest,0.2548876871880199,0.2551599434645343,0.2548042913438038,0.254826266642488
raw_csv,creator,random_forest,0.2525998336106489,0.2526397243755374,0.2527294074068463,0.2525633389582374
raw_csv,content_basic,random_forest,0.2521838602329451,0.2523177384641935,0.2522458026671245,0.252118855715886
raw_csv,non_engagement_combined,random_forest,0.2521838602329451,0.252177392191546,0.2521307094147908,0.2517087977765738
raw_csv,temporal,linear_svm,0.2505199667221298,0.2501159552295511,0.2500162388097352,0.2470711186200581
raw_csv,engagement_observed,random_forest,0.2424084858569051,0.2423254315854801,0.2423252266467284,0.2422754338810162
